MNO,RFNSA ID,Latitude,Longitude,New in 2023,3G,4G,5G,Co_funded,ABS_REMOTENESS
Optus,2000294,-33.857561,151.204625,N,N,Y,N,N,Major Cities of Australia
Optus,2000296,-33.869701,151.207573,N,N,Y,N,N,Major Cities of Australia
Optus,2000299,-33.870055,151.204349,N,N,Y,N,N,Major Cities of Australia
Optus,2000300,-33.870591,151.20462,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000303,-33.85792,151.20312,N,Y,Y,N,N,Major Cities of Australia
Optus,2000306,-33.874582,151.202343,N,N,Y,N,N,Major Cities of Australia
Optus,2000306,-33.87535,151.202981,N,N,Y,N,N,Major Cities of Australia
Optus,2000307,-33.877319,151.208564,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000317,-33.86978,151.206296,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000319,-33.857371,151.203833,N,N,Y,N,N,Major Cities of Australia
Optus,2000320,-33.870133,151.209326,N,N,Y,N,N,Major Cities of Australia
Optus,2000321,-33.864833,151.210595,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000325,-33.863986,151.203658,N,N,Y,N,N,Major Cities of Australia
Optus,2000326,-33.859511,151.213154,N,Y,Y,N,N,Major Cities of Australia
Optus,2000329,-33.866412,151.202781,N,N,Y,N,N,Major Cities of Australia
Optus,2000337,-33.872503,151.208455,N,Y,Y,N,N,Major Cities of Australia
Optus,2000347,-33.869923,151.206167,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000348,-33.863582,151.206552,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000349,-33.863828,151.211612,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000350,-33.873232,151.210794,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000352,-33.86672,151.211035,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000355,-33.866824,151.206537,N,Y,Y,N,N,Major Cities of Australia
Optus,2000356,-33.863356,151.208682,N,Y,Y,N,N,Major Cities of Australia
Optus,2000357,-33.87315,151.206626,N,N,Y,N,N,Major Cities of Australia
Optus,2000360,-33.86730824,151.2087339,N,Y,Y,N,N,Major Cities of Australia
Optus,2000366,-33.86311,151.20367,N,Y,Y,Y,N,Major Cities of Australia
Optus,2000371,-33.865572,151.205123,N,Y,Y,N,N,Major Cities of Australia
